Feature,Importance
CreditMix_Good,0.03622378082065327
AnnualIncome,0.033097335903393206
OutstandingDebt,0.03230496125357629
CreditMix_Standard,0.029661067195091328
Delayfromduedate,0.026007176616531943
NumofLoan,0.025215482794340067
NumBankAccounts,0.02502519560574886
NumCreditCard,0.02027856498067055
NumCreditInquiries,0.01877176320317276
CreditMix_Bad,0.0165344340392672
TypeofLoan_Not Specified,0.016524969521268994
Age,0.01589670931799785
InterestRate,0.013969648962445947
MonthlyInhandSalary,0.013584261473813532
PaymentofMinAmount_No,0.011873742445819966
PaymentBehaviour_HighspentLargevaluepayments,0.010868999899693317
TotalEMIpermonth,0.010739070195573096
NumofDelayedPayment,0.010090853825986656
TypeofLoan_Mortgage Loan,0.009770470649624245
TypeofLoan_Personal Loan,0.009312403122263183
PaymentofMinAmount_Yes,0.008532049908995566
Amountinvestedmonthly,0.008442449987464372
PaymentBehaviour_LowspentSmallvaluepayments,0.007415451053252606
ChangedCreditLimit,0.007342330992303323
PaymentBehaviour_HighspentMediumvaluepayments,0.0059363013195268145
CreditUtilizationRatio,0.005874288832035608
TypeofLoan_Home Equity Loan,0.00513231408956926
TypeofLoan_Credit-Builder Loan,0.00507106149398393
TypeofLoan_Student Loan,0.004979077860399269
CreditHistoryAge_9 Years and 8 Months,0.0037362237449551938
CreditHistoryAge_9 Years and 3 Months,0.003603851533221775
CreditHistoryAge_9 Years and 4 Months,0.003348986593715666
TypeofLoan_Auto Loan,0.0032875205973110617
CreditHistoryAge_5 Years and 9 Months,0.0031627106765426466
CreditHistoryAge_28 Years and 3 Months,0.0030365757282049596
CreditHistoryAge_13 Years and 8 Months,0.002937974388908091
TypeofLoan_Payday Loan,0.0028023686531082974
CreditHistoryAge_6 Years and 5 Months,0.0027471876136278468
CreditHistoryAge_9 Years and 10 Months,0.00270794654369142
Name_Davidc,0.0026911270928638605
CreditHistoryAge_11 Years and 5 Months,0.0025363553347391033
CreditHistoryAge_11 Years and 3 Months,0.002468803435741088
TypeofLoan_Debt Consolidation Loan,0.002413769021262066
"TypeofLoan_Mortgage Loan, and Home Equity Loan",0.0022884655430435853
